,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
762,Gilroy Prep,El Dorado County Charter,NC,NC,95.00%,95.00%,47.37%,42.11%,0.00,0,92.86%,3.57%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
763,Gilroy Unified,Southeast Consortium,78.22%,3.55%,94.84%,94.61%,17.65%,14.67%,0.81,0,64.08%,23.87%,2.89%,56.07%,20.23%,NC,89.29%,NC,79.17%,NC,76.92%,99.66%,0,0,100.00%,88.24%,97.69%,NC,NC,NC
764,Girls Athletic Leadership School Los Angeles,Los Angeles Unified,NC,NC,100.00%,100.00%,10.00%,12.50%,0.00,0,97.62%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
765,Glacier High School Charter,Madera-Mariposa County,NC,NC,33.33%,33.33%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
766,Glendale Unified,Foothill,74.64%,1.32%,95.00%,94.70%,21.38%,17.19%,0.16,0,56.52%,13.91%,2.27%,65.76%,28.80%,64.00%,72.57%,72.73%,75.23%,70.00%,77.14%,100.00%,0,1,100.00%,100.00%,100.00%,85.14%,93.24%,100.00%
767,Glendora Unified,East San Gabriel Valley,95.65%,0.00%,95.92%,96.08%,27.38%,20.03%,0.16,0,42.65%,14.39%,3.00%,22.64%,18.87%,NC,82.61%,NC,82.61%,NC,86.36%,100.00%,0,0,100.00%,92.86%,100.00%,64.29%,85.71%,100.00%
768,Glenn County Office of Education,Glenn County,NC,NC,96.30%,96.30%,19.23%,7.69%,NC,NC,NC,NC,NC,NC,NC,NC,78.57%,NC,92.86%,NC,82.14%,NC,0,0,100.00%,NC,100.00%,NC,NC,NC
769,Global Education Academy,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
770,Global Education Academy 2,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
771,Global Learning Charter,Tulare County,NC,NC,64.29%,64.29%,NC,NC,NC,0,43.64%,56.36%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
772,Goethe International Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.77%,NC,NC,NC,NC,NC,NC,NC,NC
773,Gold Oak Union Elementary,El Dorado County,NC,NC,98.31%,98.31%,27.59%,27.59%,0.00,0,57.89%,10.53%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
774,Gold Rush Charter,Tuolumne County,NC,NC,86.21%,86.21%,24.00%,12.00%,0.00,0,89.13%,4.35%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.23%,NC,NC,NC,NC,100.00%,NC,NC,NC
775,Gold Trail Union Elementary,El Dorado County,NC,NC,98.53%,98.53%,17.91%,16.42%,0.00,0,63.24%,11.76%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
776,Golden Eagle Charter,Siskiyou County,NC,NC,96.15%,100.00%,8.00%,3.85%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
777,Golden Feather Union Elementary,Butte County,NC,NC,88.89%,88.89%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
778,Golden Gate Community Charter,Contra Costa,NC,17.86%,88.89%,88.89%,NC,NC,0.00,0,89.19%,2.70%,5.41%,NC,NC,NC,NC,NC,NC,NC,NC,93.10%,NC,NC,NC,NC,98.18%,NC,NC,NC
779,Golden Oak Montessori of Hayward,Sonoma County Charter,NC,NC,100.00%,100.00%,26.92%,11.54%,0.00,0,96.77%,3.23%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
780,Golden Plains Unified,Fresno County,NC,NC,97.53%,97.53%,3.80%,3.80%,NC,0,73.83%,13.42%,2.68%,NC,NC,NC,NC,NC,NC,NC,NC,99.48%,0,0,100.00%,NC,100.00%,NC,NC,NC
781,Golden Valley Charter,Ventura County,NC,NC,100.00%,100.00%,16.22%,10.81%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
782,Golden Valley River,San Juan Unified,NC,NC,100.00%,90.00%,NC,NC,0.00,0,92.59%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
783,Golden Valley Tahoe,Placer County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
784,Golden Valley Unified,Madera-Mariposa County,60.00%,6.06%,94.66%,94.62%,16.94%,12.20%,1.27,0,60.81%,9.91%,4.50%,31.03%,27.59%,NC,NC,NC,NC,NC,NC,99.69%,0,0,100.00%,NC,100.00%,NC,NC,NC
785,Goleta Union Elementary,Santa Barbara County,NC,NC,95.89%,95.43%,13.81%,12.44%,0.00,0,46.69%,8.82%,0.00%,81.73%,0.96%,NC,87.50%,NC,83.87%,NC,85.29%,99.60%,1,0,100.00%,95.24%,NC,NC,NC,NC
786,Gompers Preparatory Academy,El Dorado County Charter,86.96%,NC,98.62%,98.62%,6.99%,2.80%,0.00,0,71.23%,8.22%,0.91%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,98.48%,NC,NC,NC
787,Gonzales Unified,Monterey County,NC,NC,94.71%,94.71%,6.21%,3.73%,NC,0,66.18%,19.49%,1.10%,31.25%,31.25%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
788,Gorman Joint,Antelope Valley,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
789,Gorman Learning Center,El Dorado County Charter,NC,0.00%,80.30%,81.82%,13.21%,3.70%,0.00,0,94.44%,5.56%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
790,Gorman Learning Charter San Bernardino/Santa Clarita,El Dorado County Charter,NC,NC,73.53%,75.00%,16.00%,11.76%,NC,NC,96.55%,3.45%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
791,Grace Hopper STEM Academy,Southwest Serv Area,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
792,Granada Hills Charter High,Los Angeles Unified,80.34%,40.60%,93.68%,94.74%,22.47%,12.22%,0.39,1,62.96%,1.98%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.11%,NC,NC,100.00%,NC,100.00%,63.89%,63.89%,69.44%
793,Grant Elementary,Shasta County,NC,NC,85.00%,85.00%,41.18%,41.18%,0.00,0,44.44%,3.70%,3.70%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
794,Grass Valley Charter,Nevada County,NC,NC,100.00%,100.00%,22.73%,18.18%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
795,Grass Valley Elementary,Nevada County,NC,NC,98.64%,98.64%,16.55%,13.79%,NC,0,73.37%,9.05%,0.50%,89.74%,7.69%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
796,Gratton Charter,Stanislaus County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
797,Gratton Elementary,Stanislaus County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
798,Gravenstein Elementary,Sonoma County,NC,NC,94.12%,94.12%,NC,NC,0.00,0,54.17%,8.33%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
799,Gravenstein Union Elementary,Sonoma County,NC,NC,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
800,Graves Elementary,Monterey County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
801,Great Valley Academy,Stanislaus County,NC,NC,100.00%,100.00%,18.18%,15.58%,0.00,0,98.82%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
802,Great Valley Academy - Salida,Stanislaus County,NC,NC,96.23%,98.11%,29.41%,15.38%,0.00,0,95.59%,1.47%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
803,Greater San Diego Academy,East County,NC,NC,84.62%,76.92%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
804,Green Point Elementary,Humboldt-Del Norte,NC,NC,33.33%,33.33%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
805,Greenfield Union,Kern County Consortium,NC,NC,96.71%,96.71%,10.05%,7.57%,0.00,0,53.62%,26.41%,1.72%,6.29%,86.71%,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,95.00%,NC,NC,NC,NC
806,Greenfield Union Elementary,Monterey County,NC,NC,97.61%,97.61%,3.67%,2.04%,1.26,0,69.73%,19.29%,1.78%,38.27%,16.05%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
807,Grenada Elementary,Siskiyou County,NC,NC,88.89%,88.89%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
808,Gridley Unified,Butte County,NC,12.50%,94.87%,94.87%,24.32%,20.72%,0.69,0,53.64%,21.36%,0.45%,72.22%,11.11%,NC,NC,NC,NC,NC,NC,99.67%,0,0,100.00%,NC,100.00%,NC,NC,NC
809,Grimmway Academy,Kern County Consortium,NC,NC,100.00%,100.00%,21.05%,12.28%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
810,Grimmway Academy Shafter,Kern County Consortium,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
811,Grizzly ChalleNGe Charter,San Luis Obispo County,86.49%,1.67%,87.50%,81.25%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
812,Grossmont Secondary,El Dorado County Charter,42.86%,0.00%,100.00%,100.00%,NC,NC,0.00,0,89.47%,8.77%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
813,Grossmont Union High,East County,63.83%,4.01%,88.60%,90.07%,18.78%,7.69%,0.67,0,44.42%,12.25%,8.31%,NC,NC,NC,NC,NC,NC,NC,NC,99.97%,0,0,100.00%,NC,99.86%,14.96%,47.44%,69.66%
814,Grove,East Valley Consortium,NC,NC,100.00%,100.00%,NC,NC,0.00,0,95.83%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
815,Grover Cleveland Charter High,Los Angeles Unified,71.79%,34.38%,95.59%,95.59%,10.77%,6.15%,0.00,0,50.33%,4.64%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.04%,NC,NC,NC,NC,100.00%,65.85%,65.85%,75.61%
816,Growth Public,El Dorado County Charter,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
817,Guadalupe Union Elementary,Santa Barbara County,NC,NC,97.33%,98.67%,12.33%,10.81%,1.90,0,48.18%,26.36%,0.00%,70.00%,20.00%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
818,Guajome Learning Center,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
819,Guajome Park Academy Charter,El Dorado County Charter,NC,NC,97.30%,95.95%,11.11%,2.82%,0.00,0,91.59%,1.87%,0.93%,NC,NC,NC,NC,NC,NC,NC,NC,99.21%,0,0,NC,NC,NC,NC,NC,NC
820,Guerneville Elementary,Sonoma County,NC,NC,100.00%,100.00%,7.41%,14.81%,0.00,0,80.77%,15.38%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
821,Guerneville Elementary,Sonoma County,NC,NC,50.00%,50.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
822,Gustine Unified,Merced County,90.00%,NC,100.00%,100.00%,7.38%,3.28%,NC,0,58.67%,20.44%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
823,Hacienda la Puente Unified,Hacienda la Puente Unified,82.99%,8.12%,97.73%,97.47%,12.87%,9.14%,0.24,0,55.89%,22.58%,4.30%,18.02%,33.33%,70.37%,73.33%,77.42%,72.13%,79.17%,76.79%,99.81%,0,1,100.00%,89.66%,100.00%,66.67%,83.91%,95.40%
824,Hallmark Charter,Fresno County,NC,NC,88.89%,88.89%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
825,Hamilton Unified,Glenn County,NC,NC,98.04%,98.04%,2.00%,4.00%,0.00,0,51.58%,17.89%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
826,Hamlin Charter Academy,Los Angeles Unified,NC,NC,94.74%,94.74%,NC,NC,0.00,0,47.22%,33.33%,0.00%,4.35%,95.65%,NC,NC,NC,NC,NC,NC,98.31%,NC,NC,NC,NC,NC,NC,NC,NC
827,Hanford Elementary,Kings County,NC,NC,98.85%,98.38%,14.72%,12.21%,0.60,1,65.51%,25.41%,4.29%,73.40%,21.28%,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,100.00%,NC,NC,NC,NC
828,Hanford Joint Union High,Kings County,83.91%,1.43%,89.06%,89.06%,5.26%,0.00%,2.45,1,55.64%,10.31%,10.79%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,46.51%,46.51%,53.49%
829,Happy Camp Union Elementary,Siskiyou County,NC,NC,100.00%,81.82%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
830,Happy Valley Elementary,North Santa Cruz County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
831,Happy Valley Union Elementary,Shasta County,NC,NC,100.00%,95.92%,10.20%,8.51%,0.00,0,65.00%,3.33%,6.67%,NC,NC,NC,NC,NC,NC,NC,NC,98.78%,0,0,NC,NC,NC,NC,NC,NC
832,Harbor Springs Charter,Riverside County,NC,NC,96.67%,96.67%,6.90%,0.00%,0.00,0,89.47%,10.53%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
833,Hardy Brown College Prep,El Dorado County Charter,NC,NC,87.50%,87.50%,NC,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
834,Harmony Magnet Academy,Tulare County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
835,Harmony Union Elementary,Sonoma County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
836,Harriet Tubman Village Charter,El Dorado County Charter,NC,NC,97.56%,95.12%,5.00%,5.13%,0.00,0,80.95%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
837,Hart-Ransom Academic Charter,Stanislaus County,NC,NC,54.55%,63.64%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
838,Hart-Ransom Union Elementary,Stanislaus County,NC,NC,100.00%,100.00%,20.45%,20.45%,0.00,0,75.71%,15.71%,5.71%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
839,Harvest Ridge Cooperative Charter,Placer County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,95.83%,NC,NC,NC,NC,NC,NC,NC,NC
840,Hawking S.T.E.A.M. Charter,El Dorado County Charter,NC,NC,100.00%,100.00%,20.75%,15.09%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.02%,0,0,100.00%,NC,NC,NC,NC,NC
841,Hawthorne,Southwest Serv Area,NC,NC,98.08%,97.57%,8.17%,6.42%,0.00,0,59.22%,34.19%,1.35%,69.13%,30.20%,NC,79.07%,NC,76.74%,NC,74.42%,99.68%,0,0,100.00%,90.00%,NC,NC,NC,NC
842,Hawthorne Math and Science Academy,Southwest Serv Area,NC,NC,100.00%,100.00%,NC,NC,0.00,0,95.65%,4.35%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
843,Haynes Charter For Enriched Studies,Los Angeles Unified,NC,NC,76.67%,70.97%,47.83%,40.91%,0.00,0,79.49%,17.95%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
844,Hayward Unified,Mid-Alameda County,61.88%,5.22%,94.56%,93.87%,9.00%,5.87%,0.32,0,54.27%,26.31%,4.51%,59.68%,6.67%,80.56%,73.08%,70.83%,77.33%,81.82%,86.30%,99.43%,0,3,100.00%,79.07%,100.00%,NC,NC,NC
845,Healdsburg Charter,Sonoma County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
846,Healdsburg Unified,Sonoma County,NC,NC,95.40%,95.40%,14.46%,6.02%,1.82,0,38.01%,11.70%,7.02%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
847,Health Careers Academy,Stockton City Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
848,Health Sciences High,Desert Mountain,92.59%,0.00%,92.00%,92.00%,34.78%,17.39%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
849,Health Sciences Middle,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
850,Hearthstone School,Butte County,NC,NC,92.31%,92.31%,NC,NC,0.00,0,92.31%,7.69%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
851,Heartland Charter,Los Angeles County Charter,NC,NC,82.67%,85.33%,11.29%,1.56%,NC,NC,87.18%,2.56%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.40%,0,0,100.00%,NC,NC,NC,NC,NC
852,Heather Elementary,San Mateo County,NC,NC,100.00%,100.00%,44.83%,37.93%,0.00,0,60.42%,29.17%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
853,Heber Elementary,Imperial County,NC,NC,100.00%,98.88%,14.61%,13.64%,0.00,0,56.14%,14.91%,0.88%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
854,Helendale Elementary,Desert Mountain,NC,NC,100.00%,100.00%,18.06%,11.11%,0.00,0,47.78%,11.11%,1.11%,NC,NC,NC,NC,NC,NC,NC,NC,98.90%,0,0,NC,NC,NC,NC,NC,NC
855,Helix High,East County,85.00%,1.54%,96.67%,96.67%,17.24%,6.90%,0.00,0,35.55%,7.58%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,28.57%,47.62%,71.43%
856,Hemet Unified,Riverside County,71.73%,4.21%,96.35%,95.94%,10.63%,5.15%,0.70,0,42.85%,28.59%,2.06%,37.89%,24.91%,69.23%,59.72%,67.57%,57.75%,72.73%,64.79%,99.34%,0,1,100.00%,100.00%,100.00%,61.86%,80.41%,91.75%
857,Heritage K-8 Charter,North Inland,NC,NC,84.00%,84.00%,38.10%,28.57%,0.00,0,95.45%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
858,Heritage Peak Charter,Twin Rivers Unified,95.24%,2.94%,95.77%,97.18%,10.29%,7.25%,0.00,0,97.24%,2.07%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,100.00%,NC,100.00%,NC,NC,NC
859,Hermosa Beach City Elementary,Southwest Serv Area,NC,NC,98.06%,98.08%,41.58%,40.20%,0.00,0,78.79%,6.06%,0.76%,95.45%,4.55%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
860,Hesby Oaks Leadership Charter,Los Angeles Unified,NC,NC,93.33%,93.33%,45.24%,40.48%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
861,Hesperia Unified,Desert Mountain,90.83%,1.12%,96.64%,95.75%,11.36%,7.03%,0.79,0,50.84%,26.45%,1.86%,22.09%,40.70%,NC,85.71%,90.48%,76.19%,85.71%,85.71%,99.76%,0,1,98.64%,70.83%,100.00%,NC,NC,NC
862,Hickman Charter,Stanislaus County,NC,NC,86.11%,86.11%,29.03%,25.81%,0.00,0,90.32%,9.68%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
863,Hickman Community Charter,Stanislaus County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
864,Hickman Elementary,Stanislaus County,NC,NC,100.00%,100.00%,39.29%,35.71%,0.00,0,78.57%,16.67%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
865,Hickman Middle,Stanislaus County,NC,NC,100.00%,100.00%,20.00%,20.00%,0.00,0,50.00%,13.64%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
866,High Tech Elementary,Desert Mountain,NC,NC,90.63%,90.63%,48.28%,31.03%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
867,High Tech Elementary Chula Vista,Desert Mountain,NC,NC,96.67%,93.33%,37.93%,32.14%,0.00,0,98.11%,1.89%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
868,High Tech Elementary Explorer,Desert/Mountain,NC,NC,90.91%,87.88%,20.00%,13.79%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
869,High Tech Elementary North County,Desert Mountain,NC,NC,96.30%,96.30%,23.08%,11.54%,0.00,0,94.87%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
870,High Tech High,Desert Mountain,95.24%,0.00%,91.67%,91.67%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
871,High Tech High Chula Vista,Desert Mountain,88.00%,0.00%,94.12%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
872,High Tech High International,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,0.00,0,98.31%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
873,High Tech High Media Arts,Desert Mountain,NC,NC,100.00%,88.89%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
